DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2011-Q4,9037.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2012-Q1,9063.4,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2012-Q2,9097.6,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2012-Q3,9130.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2012-Q4,9166.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2013-Q1,9193.9,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2013-Q2,9226.9,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2013-Q3,9261.4,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2013-Q4,9299.4,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2014-Q1,9329.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2014-Q2,9366.8,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2014-Q3,9416.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2014-Q4,9467.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2015-Q1,9511.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2015-Q2,9562.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2015-Q3,9613.6,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2015-Q4,9673.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2016-Q1,9715.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2016-Q2,9774.5,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2016-Q3,9829.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2016-Q4,9884.8,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2017-Q1,9927.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2017-Q2,9974.8,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2017-Q3,10022.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2017-Q4,10071.8,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2018-Q1,10111.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2018-Q2,10161.4,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2018-Q3,10213.6,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2018-Q4,10264.4,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2019-Q1,10303.8,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2019-Q2,10350.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2019-Q3,10393.9,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2019-Q4,10441.4,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2020-Q1,10476.6,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2020-Q2,10518.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2020-Q3,10568.9,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2020-Q4,10622.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2021-Q1,10667.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2021-Q2,10720.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2021-Q3,10772.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2021-Q4,10813.9,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2022-Q1,10847.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2022-Q2,10886.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2022-Q3,10926.5,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2022-Q4,10969,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2023-Q1,11003.5,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2023-Q2,11041.2,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2023-Q3,11081.5,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2023-Q4,11126.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2024-Q1,11158.6,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2024-Q2,11200.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2024-Q3,11241.1,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2024-Q4,11286.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2025-Q1,11320.7,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2025-Q2,11357.5,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2025-Q3,11398.3,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2025-Q4,11441,,,,
ABS:RES_DWELL_ST(1.0.0),4,AUS,Q,2026-Q1,11495.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2011-Q3,4418854,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2011-Q4,4400528.1,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q1,4428147.6,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q2,4456988.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q3,4439837.5,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q4,4550517.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q1,4607351.1,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q2,4688260.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q3,4774137,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q4,4953517.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q1,5031590.7,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q2,5128396.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q3,5211699.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q4,5384354.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q1,5509533,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q2,5738405,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q3,5874140.1,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q4,5916230,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q1,5919674.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q2,6055430.4,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q3,6178718.9,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q4,6441224.4,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q1,6601671.7,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q2,6771343.5,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q3,6779347.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q4,6946229.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q1,6957246.1,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q2,6920978.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q3,6860065.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q4,6788971.4,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q1,6656041.1,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q2,6720484.5,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q3,6951369.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q4,7170832.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q1,7278072.7,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q2,7251093.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q3,7469567.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q4,7848932.2,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q1,8302316.7,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q2,8726039.9,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q3,9325799.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q4,9914222.9,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2022-Q1,10094067.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2022-Q2,10028664,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2022-Q3,9729975,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2022-Q4,9773269.9,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2023-Q1,9803423.7,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2023-Q2,10101574,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2023-Q3,10252714.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2023-Q4,10563872.7,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2024-Q1,10736105.4,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2024-Q2,11000332.3,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2024-Q3,11053366,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2024-Q4,11319469.1,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2025-Q1,11409357.9,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2025-Q2,11696684.6,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2025-Q3,11977937.5,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2025-Q4,12456761.8,,,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2026-Q1,12772617.7,,,,
